test_path,elapsed_time
snappy_compression_5_1000000_1Kb,1025.0220577716827
snappy_compression_5_1000000_1Kb,1024.2371897697449
snappy_compression_5_1000000_1Kb,1024.9557831287384
snappy_compression_5_1000_10Mb,1094.28639411926274
snappy_compression_5_1000_10Mb,1091.3414716720582
snappy_compression_5_1000_10Mb,1098.95282030105594
deflate_compression_5_100000_1Kb,1819.097027301788366
deflate_compression_5_100000_1Kb,1828.114710807800327
deflate_compression_5_100000_1Kb,1844.16246366500863
deflate_compression_5_10_10Mb,1816.299198865890519
deflate_compression_5_10_10Mb,1795.673886775970476
deflate_compression_5_10_10Mb,1839.564825773239114
fibonacci_42,834.59919548034666
fibonacci_42,833.11701536178591
fibonacci_42,804.28984022140509
factorization_2147483647,242.38572216033934
factorization_2147483647,239.954379081726078
factorization_2147483647,241.68400764465331
recursive_hash_10000000_0,209.48535203933715
recursive_hash_10000000_0,228.645094156265259
recursive_hash_10000000_0,209.980154037475575
matrix_product_1_10_1000000,650.575213909149186
matrix_product_1_10_1000000,645.012229442596428
matrix_product_1_10_1000000,634.33884429931638
matrix_product_1_200_100,700.41343688964846
matrix_product_1_200_100,713.990705013275126
matrix_product_1_200_100,692.531594038009665
svd_decomposition_1_10_1000000,1123.96903276443485
svd_decomposition_1_10_1000000,1117.3573911190033
svd_decomposition_1_10_1000000,1108.07037949562073
svd_decomposition_1_200_100,655.53188490867612
svd_decomposition_1_200_100,655.67533111572261
svd_decomposition_1_200_100,647.814733028411882
qr_decomposition_1_10_1000000,229.77492332458496
qr_decomposition_1_10_1000000,231.861802339553825
qr_decomposition_1_10_1000000,229.859986066818253
qr_decomposition_1_200_100,219.251183509826676
qr_decomposition_1_200_100,175.546491861343385
qr_decomposition_1_200_100,209.196590185165394
